passage_id,chapter,section,subsection,page,text,heading_path,kind,text_clean,word_count,nn,nn_sim,x,y,cluster,cluster_name,cluster_short,words,phrases
p0001,Part 1: General Information,(no section),(no subsection),10,"Welcome to the intellectual and personal excitement of Duke Kunshan University, to its commitment to the finest education and to its passion for shaping a more knowledgeable, inclusive, responsible and peaceful world. DKU’s founders, leaders and community have set ambitious goals. Confident that you will contribute importantly to reaching those goals, we invite you to join us in pursuing them together.",Part 1: General Information,prose,"Welcome to the intellectual and personal excitement of Duke Kunshan University, to its commitment to the finest education and to its passion for shaping a more knowledgeable, inclusive, responsible and peaceful world. DKU’s founders, leaders and community have set ambitious goals. Confident that you will contribute importantly to reaching those goals, we invite you to join us in pursuing them together.",61,p0006 p0009 p0022 p0285 p0018,0.864 0.793 0.785 0.782 0.775,2.5618873,2.072403,7,Institutional & Transfer Credit,Transfer Credit,"goals, reaching, join, pursuing, invite, knowledgeable, welcome, importantly, inclusive, shaping, contribute, commitment","kunshan university, duke kunshan, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war"
p0002,Part 1: General Information,(no section),(no subsection),10,"Your experience here will prepare you to be among the next generations of leaders, who create the cutting edge of new knowledge, engage with courage and wisdom the world’s most pressing challenges, and extend perspectives and understanding across our globe. We share with our fellow human beings across the world the desire to make it a better place whether at the level of providing clean drinking water and sustainable energy systems for rural villages, or of developing preventive measures against future pandemics, or of peacefully negotiating regional or global conflict.",Part 1: General Information,prose,"Your experience here will prepare you to be among the next generations of leaders, who create the cutting edge of new knowledge, engage with courage and wisdom the world’s most pressing challenges, and extend perspectives and understanding across our globe. We share with our fellow human beings across the world the desire to make it a better place whether at the level of providing clean drinking water and sustainable energy systems for rural villages, or of developing preventive measures against future pandemics, or of peacefully negotiating regional or global conflict.",90,p0433 p0436 p0889 p0482 p0273,0.537 0.507 0.493 0.488 0.486,10.1623335,0.3734395,6,"History, Religion & Society",History & Religion,"drinking, generations, clean, wisdom, rural, measures, beings, extend, desire, pressing, sustainable, globe","regional global, human beings, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war"
p0003,Part 1: General Information,(no section),(no subsection),10,"Please use this bulletin as a tool to understand who we are, to chart your own path through the rich opportunities DKU offers, and to help you to define the personal directions you hope to take through DKU and beyond.",Part 1: General Information,prose,"Please use this bulletin as a tool to understand who we are, to chart your own path through the rich opportunities DKU offers, and to help you to define the personal directions you hope to take through DKU and beyond.",40,p0006 p0001 p0259 p0290 p0140,0.552 0.497 0.480 0.474 0.465,2.2900338,2.1044872,5,Interdisciplinary Seminars & Learning Goals,Seminars,"dku, directions, path, hope, define, tool, rich, bulletin, offers, personal, opportunities, understand","ability communicate, ability disciplinary, ability read, ability write, able speak, abroad program, absence personal, absence university, abstract algebra, abstract concepts, academic advising, academic advisor"
p0004,Part 1: General Information,(no section),(no subsection),10,"--Prof. Youmei Feng, Chancellor --Dr. Al Bloom, Executive Vice Chancellor",Part 1: General Information,prose,"--Prof. Youmei Feng, Chancellor --Dr. Al Bloom, Executive Vice Chancellor",10,p0010 p0313 p0005 p0559 p1368,0.614 0.339 0.310 0.310 0.308,3.3720574,1.9448301,8,Public Policy & Economics,Policy & Economics,"chancellor, feng, executive, vice, wrong, wuhan, year, years, yeast, yielded, yoga, york","vice chancellor, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english, written oral, world role, world war, writing argumentation"
p0005,Part 1: General Information,Mission Statement,(no subsection),10,"Duke Kunshan University is a highly selective research-oriented, liberal arts and sciences university located in China, whose primary mission is to enable students from around the world to lead purposeful and productive lives. By delivering the highest quality undergraduate and graduate education that is truly interdisciplinary, we prepare students for professional, intellectual and societal leadership roles across the globe. The core of our educational offering is a four-year undergraduate degree program featuring an integrated and multi-disciplinary curriculum, with an effective blend of Chinese, American, and global techniques and values and a culture of academic excellence and freedom. Our world-class faculty pursue knowledge in service of society, involving students in innovative scholarship and research programs. As a premier Sino-US joint-venture university, we embrace the integration of global, national, and local traditions of thought and experience and promote cross-cultural understanding and cross-border collaborations.",Part 1: General Information > Mission Statement,prose,"Duke Kunshan University is a highly selective research-oriented, liberal arts and sciences university located in China, whose primary mission is to enable students from around the world to lead purposeful and productive lives. By delivering the highest quality undergraduate and graduate education that is truly interdisciplinary, we prepare students for professional, intellectual and societal leadership roles across the globe. The core of our educational offering is a four-year undergraduate degree program featuring an integrated and multi-disciplinary curriculum, with an effective blend of Chinese, American, and global techniques and values and a culture of academic excellence and freedom. Our world-class faculty pursue knowledge in service of society, involving students in innovative scholarship and research programs. As a premier Sino-US joint-venture university, we embrace the integration of global, national, and local traditions of thought and experience and promote cross-cultural understanding and cross-border collaborations.",141,p0009 p0007 p0019 p0022 p0024,0.848 0.807 0.806 0.784 0.784,2.8881567,1.9969136,7,Institutional & Transfer Credit,Transfer Credit,"multi-disciplinary, featuring, freedom, joint-venture, world-class, blend, university, purposeful, undergraduate, highest, four-year, productive","students world, national local, research programs, service society, chinese american, knowledge service, undergraduate degree, undergraduate graduate, arts sciences, academic excellence, enable students, traditions thought"
p0006,Part 1: General Information,Statement on Diversity and Inclusion,(no subsection),10,"Duke Kunshan University welcomes passionate, creative, and intellectually-driven students, faculty, and staff from all walks of life, from all over the world. We affirm the diverse histories, perspectives, experiences, identities, languages, and cultures that enhance our community, and we aim to create an environment where all members of our community are accepted, appreciated, and celebrated. Our commitment to inclusivity is grounded in the university’s mission. DKU is a community where those who study, live, and work see difference as an opportunity for meaningful dialogue, creative expression, and innovative thinking. The university aspires to foster mutual respect and understanding among and for all people, regardless of differing cultures, ethnicities, races, religions, genders, sexual orientations, ages, national origins, socio-economic backgrounds, capabilities, or any other category that can be used to divide people. Our uniquely rich cultural community is designed to cultivate informed and engaged citizens of the world.",Part 1: General Information > Statement on Diversity and Inclusion,prose,"Duke Kunshan University welcomes passionate, creative, and intellectually-driven students, faculty, and staff from all walks of life, from all over the world. We affirm the diverse histories, perspectives, experiences, identities, languages, and cultures that enhance our community, and we aim to create an environment where all members of our community are accepted, appreciated, and celebrated. Our commitment to inclusivity is grounded in the university’s mission. DKU is a community where those who study, live, and work see difference as an opportunity for meaningful dialogue, creative expression, and innovative thinking. The university aspires to foster mutual respect and understanding among and for all people, regardless of differing cultures, ethnicities, races, religions, genders, sexual orientations, ages, national origins, socio-economic backgrounds, capabilities, or any other category that can be used to divide people. Our uniquely rich cultural community is designed to cultivate informed and engaged citizens of the world.",146,p0001 p0018 p0009 p0005 p0285,0.864 0.799 0.756 0.755 0.745,2.4333103,2.0294363,7,Institutional & Transfer Credit,Transfer Credit,"community, creative, cultures, people, differing, walks, socio-economic, orientations, university, expression, ages, dialogue","mutual respect, members community, engaged citizens, innovative thinking, dku community, students faculty, faculty staff, kunshan university, duke kunshan, writing papers, writing short, writing skills"
p0007,Part 1: General Information,Who We Are,(no subsection),11,"Duke Kunshan University is a Sino-American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world-class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint-venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class. The four-year bachelor’s degree program is based in the liberal arts and sciences tradition, which emphasizes critical thinking, creativity, collaboration and exploration.",Part 1: General Information > Who We Are,prose,"Duke Kunshan University is a Sino-American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world-class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint-venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class. The four-year bachelor’s degree program is based in the liberal arts and sciences tradition, which emphasizes critical thinking, creativity, collaboration and exploration.",122,p0005 p0056 p0057 p0066 p0021,0.807 0.799 0.791 0.783 0.782,3.0232947,2.4110212,7,Institutional & Transfer Credit,Transfer Credit,"august, offering, duke, liberal, kunshan, university, arts, programs, partnership, world-class, joint-venture, jiangsu","liberal arts, duke kunshan, jiangsu province, programs students, research university, wuhan university, arts sciences, academic programs, ministry education, kunshan university, bachelor degree, critical thinking"
p0008,Part 1: General Information,Who We Are,(no subsection),11,"With the goal of spearheading the future of higher education, Duke Kunshan is influenced and informed by both Chinese and American traditions of higher education. The shared vision of Duke and Wuhan universities is that Duke Kunshan will help address the changing needs of global higher education. Their rich heritage inspires Duke Kunshan to pursue academic excellence and integrity and apply classroom knowledge in service to society. Duke Kunshan delivers academic programs designed to address society’s future needs through a curriculum based in the liberal arts tradition and a commitment to problem-based learning that challenges students to apply their knowledge during the learning process.",Part 1: General Information > Who We Are,prose,"With the goal of spearheading the future of higher education, Duke Kunshan is influenced and informed by both Chinese and American traditions of higher education. The shared vision of Duke and Wuhan universities is that Duke Kunshan will help address the changing needs of global higher education. Their rich heritage inspires Duke Kunshan to pursue academic excellence and integrity and apply classroom knowledge in service to society. Duke Kunshan delivers academic programs designed to address society’s future needs through a curriculum based in the liberal arts tradition and a commitment to problem-based learning that challenges students to apply their knowledge during the learning process.",104,p0019 p0022 p0009 p0005 p0007,0.848 0.835 0.823 0.783 0.781,2.7337692,2.0998867,7,Institutional & Transfer Credit,Transfer Credit,"higher, address, needs, duke, education, kunshan, future, apply, learning, society, wuhan, heritage","higher education, duke kunshan, universities duke, service society, knowledge service, chinese american, challenges students, education duke, academic excellence, academic programs, liberal arts, students apply"
p0009,Part 1: General Information,Who We Are,(no subsection),11,"As an international, intellectual community that encourages diversity, openness and creative learning, Duke Kunshan University welcomes outstanding students and faculty from around the world who contribute diverse perspectives and experiences to this global learning environment. The university’s innovative programs inspire students to master academically rigorous course work, generate new ideas and develop creative solutions to the world’s challenges, preparing them not just for careers in specific fields but to become globally sophisticated leaders and citizens.",Part 1: General Information > Who We Are,prose,"As an international, intellectual community that encourages diversity, openness and creative learning, Duke Kunshan University welcomes outstanding students and faculty from around the world who contribute diverse perspectives and experiences to this global learning environment. The university’s innovative programs inspire students to master academically rigorous course work, generate new ideas and develop creative solutions to the world’s challenges, preparing them not just for careers in specific fields but to become globally sophisticated leaders and citizens.",75,p0005 p0022 p0008 p0019 p0001,0.848 0.831 0.823 0.807 0.793,2.8135617,1.957869,7,Institutional & Transfer Credit,Transfer Credit,"creative, outstanding, inspire, preparing, academically, learning, master, generate, globally, careers, rigorous, just","course work, students master, students faculty, kunshan university, duke kunshan, writing papers, writing short, writing skills, writing speaking, writing stories, written advanced, written english"
p0010,Part 1: General Information,Who We Are,(no subsection),11,"Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world-leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom served as the founding vice chancellor of NYU-Abu Dhabi for more than a decade and president of Swarthmore College for 18 years.",Part 1: General Information > Who We Are,prose,"Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world-leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom served as the founding vice chancellor of NYU-Abu Dhabi for more than a decade and president of Swarthmore College for 18 years.",149,p0005 p0007 p0004 p0001 p0008,0.643 0.631 0.614 0.601 0.589,3.0098403,2.12505,7,Institutional & Transfer Credit,Transfer Credit,"chancellor, vice, executive, education, medical, university, language, professor, feng, leader, abundant, operates","vice chancellor, wuhan university, higher education, language culture, duke kunshan, chinese language, global education, kunshan university, writing short, writing skills, writing speaking, writing stories"
