target,ids,date,flag,user,text,weekday
4,2048720362,2009-06-05 15:39:50-07:00,NO_QUERY,Judy_bcn,@user ou sorry! my english is bad too :$ hehe but i'm speaking catalan in that moment,Friday
0,2249549259,2009-06-19 22:32:38-07:00,NO_QUERY,msbunndotcom,just witnessed how easily my husband got my 2yo niece to take her medicine. OMG! What did I do wrong??? I was very nice with my approach!,Friday
4,1957641384,2009-05-29 01:08:12-07:00,NO_QUERY,sarah_jean,"@user no, trying to meet baby spice!",Friday
4,1961116118,2009-05-29 09:00:36-07:00,NO_QUERY,FreeBeing,#FF one of my new faves cos y'all know how I am! - @user,Friday
4,1963691694,2009-05-29 13:06:13-07:00,NO_QUERY,NinaMcFLY,it's cruel that I'm not living in the UK. wanna watch BGT too.,Friday
4,1881318484,2009-05-22 04:18:24-07:00,NO_QUERY,alexmcduff,is sick with teh fever. but im so happy that my baby took care of me yesterday the whole day so i'm feeling so much better,Friday
0,1957624003,2009-05-29 01:04:58-07:00,NO_QUERY,susieblake2002,@user Aw I left it at home I do have some Travis or Coldplay though? xx,Friday
0,2236599075,2009-06-19 04:06:05-07:00,NO_QUERY,tremblingfinger,Tante @user your number never works let's get together this weekend...,Friday
0,1960905445,2009-05-29 08:41:09-07:00,NO_QUERY,caitlinw13,..exams. haha just remembrd the china buffet king yesterday. vair amusing ....,Friday
4,1964706020,2009-05-29 14:40:12-07:00,NO_QUERY,seolman,@user sounds like a plan,Friday
0,2245732526,2009-06-19 16:33:34-07:00,NO_QUERY,micheala02,"Aliya has puked all over the carseat and car, peed all over a highchair and floor, and now diarhea all over the car seat Within 12 hrs!",Friday
0,2044730649,2009-06-05 09:44:54-07:00,NO_QUERY,Sian_11,cant work out if hes playing games or not,Friday
4,2050715699,2009-06-05 19:10:00-07:00,NO_QUERY,twolamb,"I'm so excited, I'm about to pee in my pants",Friday
0,1965667019,2009-05-29 16:19:33-07:00,NO_QUERY,NikitaBonita,Sick of fighting so it looks like no more burlesque for me,Friday
4,1963531604,2009-05-29 12:51:53-07:00,NO_QUERY,JtErvin,"@user haha not this season, but hopefully by next year it'll be the first official TV season!",Friday
