section,cluster,cluster_name,cluster_short,count,n_section,prop_of_section,prop_of_topic
Course Descriptions,0,"Biology, Chemistry & Environmental Science",Bio / Chem / Env,51,798,0.0639,0.5426
Course Descriptions,1,"Advanced Placement, Credit & Electives",AP & Electives,32,798,0.0401,0.2991
Course Descriptions,2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,86,798,0.1078,0.735
Course Descriptions,3,Course Prerequisites,Prerequisites,160,798,0.2005,1.0
Course Descriptions,4,"Media, Film & Visual Arts",Media & Film,68,798,0.0852,0.764
Course Descriptions,5,Interdisciplinary Seminars & Learning Goals,Seminars,84,798,0.1053,0.6131
Course Descriptions,6,"History, Religion & Society",History & Religion,147,798,0.1842,0.8077
Course Descriptions,7,Institutional & Transfer Credit,Transfer Credit,3,798,0.0038,0.0273
Course Descriptions,8,Public Policy & Economics,Policy & Economics,67,798,0.084,0.5154
Course Descriptions,10,"Computer Science, Math & Data Science",CS / Math / Data,100,798,0.1253,0.6803
Majors (listed in alphabetical order),0,"Biology, Chemistry & Environmental Science",Bio / Chem / Env,43,255,0.1686,0.4574
Majors (listed in alphabetical order),1,"Advanced Placement, Credit & Electives",AP & Electives,20,255,0.0784,0.1869
Majors (listed in alphabetical order),2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,25,255,0.098,0.2137
Majors (listed in alphabetical order),4,"Media, Film & Visual Arts",Media & Film,21,255,0.0824,0.236
Majors (listed in alphabetical order),5,Interdisciplinary Seminars & Learning Goals,Seminars,6,255,0.0235,0.0438
Majors (listed in alphabetical order),6,"History, Religion & Society",History & Religion,33,255,0.1294,0.1813
Majors (listed in alphabetical order),8,Public Policy & Economics,Policy & Economics,62,255,0.2431,0.4769
Majors (listed in alphabetical order),10,"Computer Science, Math & Data Science",CS / Math / Data,45,255,0.1765,0.3061
Degree Requirements,1,"Advanced Placement, Credit & Electives",AP & Electives,12,33,0.3636,0.1121
Degree Requirements,5,Interdisciplinary Seminars & Learning Goals,Seminars,10,33,0.303,0.073
Degree Requirements,7,Institutional & Transfer Credit,Transfer Credit,11,33,0.3333,0.1
Grading and Grade Requirements,1,"Advanced Placement, Credit & Electives",AP & Electives,5,18,0.2778,0.0467
Grading and Grade Requirements,7,Institutional & Transfer Credit,Transfer Credit,3,18,0.1667,0.0273
Grading and Grade Requirements,9,"Academic Standing, Leave & Withdrawal",Standing & Leave,10,18,0.5556,0.1053
