previous,MSFS2024,MSFS2020,XP12,XP11,GeoFS,P3D,Infinite Flight,DCS,FlightGear,AeroFly,FSX,Rortos,Falcon BMS,Aerowinx,Others,total
MSFS2024,5097,533,288,41,37,9,9,39,3,6,3,1,2,1,2,6071
MSFS2020,6265,6638,249,44,51,23,16,32,9,8,1,3,7,1,2,13349
XP12,274,155,1792,26,5,3,2,10,2,1,0,2,0,0,0,2272
XP11,72,140,272,393,6,8,7,4,3,2,0,0,4,0,0,911
GeoFS,38,62,9,8,1497,1,30,8,13,13,0,6,3,2,1,1691
P3D,130,147,26,6,5,318,5,2,1,1,0,1,0,2,0,644
Infinite Flight,33,22,7,7,31,5,243,0,1,3,0,4,0,0,1,357
DCS,64,40,6,3,7,4,2,216,1,0,0,1,7,1,3,355
FlightGear,11,13,10,9,9,1,2,1,111,2,1,3,0,1,0,174
AeroFly,14,9,7,6,10,1,4,0,1,79,0,2,0,0,0,133
FSX,39,41,9,7,2,10,0,0,0,0,107,0,0,0,0,215
Rortos,13,7,2,4,20,1,18,1,3,6,0,52,0,0,0,127
Falcon BMS,5,6,2,1,4,1,1,1,2,0,0,0,34,0,1,58
Aerowinx,4,4,1,2,0,0,1,2,0,0,0,0,0,20,0,34
Others,6,6,2,1,8,0,1,0,0,0,1,0,0,0,39,64
